"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict登录接口测试包","ict登录t接口测试模块","各端登录接口","","","运输公司端登录接口","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台跟踪管理》集装箱运输查询","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","应收管理》应收费用制作","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","认证审核》运输公司认证获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","系统规则》邮箱接收日志获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","运营策略》接单中心获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","档案管理》结算信息档案查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台货源大厅》货源大厅订单管理查询","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","运营策略》调度中心获取","用例描述"
"skipped","Fri Jul 21 09:17:51 CST 2023","Fri Jul 21 09:17:51 CST 2023","0","ict货主查询接口测试包","ict货主查询接口测试模块","货主端查询接口","","","档案管理》收发货人查询获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台跟踪管理》监理管理查询","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","消息》系统消息》发信箱获取","用例描述"
"skipped","Fri Jul 21 09:17:50 CST 2023","Fri Jul 21 09:17:50 CST 2023","0","ict后台查询接口测试包","ict后台查询接口测试模块","后台端查询接口","","","后台运单管理》计划管理集装箱查询","用例描述"
